0.21 -1.13 -1 -0 -0 -0 -0.333843 0.50074 0.023241 -0.0306452 1  -0.302949
0.21 -1.11 -1 -0 -0 -0 -0.33385 0.500749 0.0231259 -0.0310429 1  -0.300878
0.21 -1.09 -1 -0 -0 -0 -0.333856 0.500759 0.0230024 -0.0314437 1  -0.299119
0.21 -1.07 -1 -0 -0 -0 -0.333862 0.500769 0.0228703 -0.0318474 1  -0.297359
0.21 -1.05 -1 -0 -0 -0 -0.333869 0.500778 0.0227292 -0.0322538 1  -0.295599
0.21 -1.03 -1 -0 -0 -0 -0.333876 0.500788 0.0225789 -0.0326627 1  -0.293839
0.21 -1.01 -1 -0 -0 -0 -0.333882 0.500798 0.0224193 -0.033074 1  -0.292079
0.21 -0.99 -1 -0 -0 -0 -0.333889 0.500808 0.02225 -0.0334874 1  -0.290464
0.21 -0.97 -1 -0 -0 -0 -0.333896 0.500818 0.0220709 -0.0339027 1  -0.29
0.21 -0.95 -1 -0 -0 -0 -0.333902 0.500828 0.0218816 -0.0343196 1  -0.29
0.21 -0.93 -1 -0 -0 -0 -0.333909 0.500838 0.021682 -0.0347379 1  -0.29
0.21 -0.91 -1 -0 -0 -0 -0.333916 0.500849 0.0214719 -0.0351573 1  -0.29
0.21 -0.89 -1 -0 -0 -0 -0.333922 0.500859 0.021251 -0.0355775 1  -0.29
0.21 -0.87 -1 -0 -0 -0 -0.333929 0.500869 0.021019 -0.0359981 1  -0.29
0.21 -0.85 -1 -0 -0 -0 -0.333936 0.500879 0.0207759 -0.036419 1  -0.29
0.21 -0.83 -1 -0 -0 -0 -0.333943 0.500889 0.0205214 -0.0368396 1  -0.29
0.21 -0.81 -1 -0 -0 -0 -0.33395 0.500899 0.0202553 -0.0372597 1  -0.29
0.21 -0.79 -1 -0 -0 -0 -0.333956 0.500909 0.0199774 -0.0376789 1  -0.29
0.21 -0.77 -1 -0 -0 -0 -0.333963 0.500919 0.0196876 -0.0380968 1  -0.29
0.21 -0.75 -1 -0 -0 -0 -0.33397 0.50093 0.0193858 -0.0385131 1  -0.29
